Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Jamie Oleksiak,0544,2,12,14,6,13,19,9,23,32,8,19,27,25,67,92
Jordan Eberle,0545,17,25,42,23,26,49,22,33,55,24,39,63,86,123,209
Shane Wright,0546,0,0,0,10,22,32,9,19,28,10,19,29,29,60,89
Adam Larsson,0547,2,14,16,6,20,26,5,26,31,6,42,48,19,102,121
Chandler Stephenson,0548,21,28,49,24,14,38,23,24,47,30,29,59,98,95,193
Eeli Tolvanen,0549,9,25,34,21,28,49,22,35,57,16,29,45,68,117,185
Ryker Evans,0550,1,6,7,0,0,0,0,0,0,5,26,31,6,32,38
Kaapo Kakko,0551,18,16,34,14,17,31,11,9,20,5,16,21,48,58,106
Jaden Schwartz,0552,10,14,24,16,28,44,16,16,32,28,33,61,70,91,161
Ryan Lindgren,0553,1,15,16,4,14,18,10,7,17,2,17,19,17,53,70
Frederick Gaudreau,0554,0,0,0,13,24,37,15,13,28,19,18,37,47,55,102
Bobby McMann,0555,0,0,0,0,0,0,9,14,23,14,16,30,23,30,53
Josh Mahura,0556,0,0,0,8,17,25,6,7,13,1,14,15,15,38,53
Cale Fleury,0557,1,6,7,6,8,14,4,6,10,2,10,12,13,30,43
Robert Thomas,0562,17,9,26,27,34,61,25,42,67,6,23,29,75,108,183
Colton Parayko,0563,6,26,32,12,27,39,6,15,21,10,28,38,34,96,130
Jordan Kyrou,0564,13,19,32,21,43,64,9,40,49,32,51,83,75,153,228
Pavel Buchnevich,0565,20,23,43,28,33,61,12,53,65,29,39,68,89,148,237
Cam Fowler,0566,2,13,15,10,29,39,9,24,33,6,24,30,27,90,117
Dylan Holloway,0567,0,0,0,9,16,25,8,18,26,20,41,61,37,75,112
Jake Neighbours,0568,5,2,7,16,31,47,20,22,42,22,24,46,63,79,142
